coverage_id,policy_id,coverage_amount,coverage_type_id
1001,1000,8868,1000
1002,1000,8005,1001
1003,1000,7193,1002
1004,1001,7387,1000
1005,1001,2106,1001
1006,1001,8369,1002
1007,1002,490,1000
1008,1002,2166,1001
1009,1003,7190,1002
1010,1003,9557,1000
1011,1003,3565,1001
1012,1004,5898,1002
1013,1004,5328,1000
1014,1005,6760,1001
1015,1005,6549,1002
1016,1006,138,1000
1017,1006,1937,1001
1018,1007,4024,1002
1019,1007,9334,1000
1020,1007,2811,1001
1021,1008,9849,1002
1022,1008,8387,1000
1023,1008,5223,1001
1024,1009,6951,1002
1025,1009,4858,1000
1026,1010,8812,1001
1027,1010,6375,1002
1028,1011,7898,1000
1029,1011,2378,1001
1030,1012,108,1002
1031,1012,2965,1000
1032,1012,4680,1001
1033,1013,4597,1002
1034,1013,3471,1000
1035,1014,6935,1001
1036,1014,9477,1002
1037,1015,3034,1000
1038,1015,2691,1001
1039,1015,4356,1002
1040,1016,9899,1000
1041,1016,7497,1001
1042,1017,6156,1002
1043,1017,1946,1000
1044,1017,2184,1001
1045,1018,2075,1002
1046,1018,83,1000
1047,1018,5385,1001
1048,1019,1085,1002
1049,1019,2602,1000
1050,1019,4498,1001
1051,1020,997,1002
1052,1020,5824,1000
1053,1020,4180,1001
1054,1021,4425,1002
1055,1021,1256,1000
1056,1022,9003,1001
1057,1022,2172,1002
1058,1022,6253,1000
1059,1023,9629,1001
1060,1023,4298,1002
1061,1024,6569,1000
1062,1024,1604,1001
1063,1024,2951,1002
1064,1025,8785,1000
1065,1025,9094,1001
1066,1025,4362,1002
1067,1026,4360,1000
1068,1026,6596,1001
1069,1027,4096,1002
1070,1027,8110,1000
1071,1027,6570,1001
1072,1028,4254,1002
1073,1028,8395,1000
1074,1029,485,1001
1075,1029,4330,1002
1076,1029,9930,1000
1077,1030,5374,1001
1078,1030,6903,1002
1079,1031,1639,1000
1080,1031,5837,1001
1081,1031,2834,1002
1082,1032,2349,1000
1083,1032,3192,1001
1084,1033,3882,1002
1085,1033,5910,1000
1086,1034,2281,1001
1087,1034,3011,1002
1088,1035,4556,1000
1089,1035,5246,1001
1090,1035,3918,1002
1091,1036,1271,1000
1092,1036,5552,1001
1093,1036,7424,1002
1094,1037,4212,1000
1095,1037,2771,1001
1096,1038,2120,1002
1097,1038,2485,1000
1098,1039,4374,1001
