policy_id,policy_number,start_date,end_date,status_id,type_id,customer_id
1000,154000000,5/7/2026,5/7/2027,1000,100,54000000
1001,154000001,8/4/2024,8/4/2025,1001,101,54000000
1002,154000002,8/26/2024,8/26/2025,1002,102,54000000
1003,154000003,8/20/2025,8/20/2026,1000,100,54000001
1004,154000004,2/12/2025,2/12/2026,1001,101,54000001
1005,154000005,4/7/2025,4/7/2026,1002,102,54000002
1006,154000006,4/4/2027,4/4/2028,1000,100,54000002
1007,154000007,11/10/2024,11/10/2025,1001,101,54000003
1008,154000008,9/1/2024,9/1/2025,1002,102,54000003
1009,154000009,11/9/2025,11/9/2026,1000,100,54000003
1010,154000010,4/6/2025,4/6/2026,1001,101,54000004
1011,154000011,4/26/2026,4/26/2027,1002,102,54000004
1012,154000012,2/21/2024,2/21/2025,1000,100,54000004
1013,154000013,2/14/2026,2/14/2027,1001,101,54000005
1014,154000014,2/22/2025,2/22/2026,1002,102,54000005
1015,154000015,8/2/2024,8/2/2025,1000,100,54000005
1016,154000016,12/1/2024,12/1/2025,1001,101,54000006
1017,154000017,8/19/2024,8/19/2025,1002,102,54000006
1018,154000018,2/27/2024,2/27/2025,1000,100,54000007
1019,154000019,7/15/2025,7/15/2026,1001,101,54000007
1020,154000020,9/27/2024,9/27/2025,1002,102,54000007
1021,154000021,5/19/2026,5/19/2027,1000,100,54000008
1022,154000022,5/5/2024,5/5/2025,1001,101,54000008
1023,154000023,11/1/2024,11/1/2025,1002,102,54000009
1024,154000024,9/16/2025,9/16/2026,1000,100,54000009
1025,154000025,6/22/2024,6/22/2025,1001,101,54000009
1026,154000026,11/26/2026,11/26/2027,1002,102,54000010
1027,154000027,2/1/2026,2/1/2027,1000,100,54000010
1028,154000028,8/15/2026,8/15/2027,1001,101,54000010
1029,154000029,3/9/2025,3/9/2026,1002,102,54000011
1030,154000030,12/6/2027,12/6/2028,1000,100,54000011
1031,154000031,2/19/2027,2/19/2028,1001,101,54000011
1032,154000032,11/9/2025,11/9/2026,1002,102,54000012
1033,154000033,11/11/2024,11/11/2025,1000,100,54000012
1034,154000034,5/14/2026,5/14/2027,1001,101,54000012
1035,154000035,3/3/2026,3/3/2027,1002,102,54000013
1036,154000036,12/25/2024,12/25/2025,1000,100,54000013
1037,154000037,2/8/2026,2/8/2027,1001,101,54000013
1038,154000038,2/3/2024,2/3/2025,1002,102,54000014
1039,154000039,6/5/2024,6/5/2025,1000,100,54000014
1040,154000040,5/17/2026,5/17/2027,1001,101,54000015
1041,154000041,9/11/2024,9/11/2025,1002,102,54000015
1042,154000042,6/1/2026,6/1/2027,1000,100,54000015
1043,154000043,5/25/2025,5/25/2026,1001,101,54000016
1044,154000044,4/14/2024,4/14/2025,1002,102,54000016
1045,154000045,6/21/2026,6/21/2027,1000,100,54000016
1046,154000046,3/15/2026,3/15/2027,1001,101,54000017
1047,154000047,6/21/2025,6/21/2026,1002,102,54000017
1048,154000048,2/5/2026,2/5/2027,1000,100,54000018
1049,154000049,3/21/2027,3/21/2028,1001,101,54000018
1050,154000050,9/13/2024,9/13/2025,1002,102,54000019
1051,154000051,6/20/2025,6/20/2026,1000,100,54000019
1052,154000052,6/18/2027,6/18/2028,1001,101,54000020
1053,154000053,6/19/2024,6/19/2025,1002,102,54000020
1054,154000054,10/24/2024,10/24/2025,1000,100,54000021
1055,154000055,7/22/2024,7/22/2025,1001,101,54000021
1056,154000056,7/16/2025,7/16/2026,1002,102,54000021
1057,154000057,11/10/2025,11/10/2026,1000,100,54000022
1058,154000058,11/4/2027,11/4/2028,1001,101,54000022
1059,154000059,5/20/2025,5/20/2026,1002,102,54000022
1060,154000060,9/7/2024,9/7/2025,1000,100,54000023
1061,154000061,6/5/2024,6/5/2025,1001,101,54000023
1062,154000062,2/4/2025,2/4/2026,1002,102,54000024
1063,154000063,6/12/2025,6/12/2026,1000,100,54000024
1064,154000064,2/22/2025,2/22/2026,1001,101,54000024
1065,154000065,7/5/2026,7/5/2027,1002,102,54000025
1066,154000066,11/11/2024,11/11/2025,1000,100,54000025
1067,154000067,6/20/2027,6/20/2028,1001,101,54000026
1068,154000068,12/27/2024,12/27/2025,1002,102,54000026
1069,154000069,8/22/2025,8/22/2026,1000,100,54000027
1070,154000070,5/15/2026,5/15/2027,1001,101,54000027
1071,154000071,8/1/2025,8/1/2026,1002,102,54000027
1072,154000072,3/1/2026,3/1/2027,1000,100,54000028
1073,154000073,6/17/2025,6/17/2026,1001,101,54000028
1074,154000074,9/26/2025,9/26/2026,1002,102,54000028
1075,154000075,3/21/2026,3/21/2027,1000,100,54000029
1076,154000076,9/14/2027,9/14/2028,1001,101,54000029
1077,154000077,12/23/2025,12/23/2026,1002,102,54000029
1078,154000078,3/10/2027,3/10/2028,1000,100,54000030
1079,154000079,11/25/2026,11/25/2027,1001,101,54000030
1080,154000080,3/10/2025,3/10/2026,1002,102,54000031
1081,154000081,10/8/2026,10/8/2027,1000,100,54000031
1082,154000082,2/18/2027,2/18/2028,1001,101,54000031
1083,154000083,10/5/2026,10/5/2027,1002,102,54000032
1084,154000084,6/5/2026,6/5/2027,1000,100,54000032
1085,154000085,2/21/2025,2/21/2026,1001,101,54000032
1086,154000086,7/27/2027,7/27/2028,1002,102,54000033
1087,154000087,7/10/2025,7/10/2026,1000,100,54000033
1088,154000088,5/16/2024,5/16/2025,1001,101,54000033
1089,154000089,2/15/2024,2/15/2025,1002,102,54000034
1090,154000090,10/9/2027,10/9/2028,1000,100,54000034
1091,154000091,11/7/2027,11/7/2028,1001,101,54000035
1092,154000092,3/15/2024,3/15/2025,1002,102,54000035
1093,154000093,4/10/2027,4/10/2028,1000,100,54000035
1094,154000094,7/10/2025,7/10/2026,1001,101,54000036
1095,154000095,2/8/2026,2/8/2027,1002,102,54000036
1096,154000096,2/7/2025,2/7/2026,1000,100,54000037
1097,154000097,10/14/2025,10/14/2026,1001,101,54000037
1098,154000098,12/21/2024,12/21/2025,1002,102,54000038
1099,154000099,9/9/2027,9/9/2028,1000,100,54000038
1100,154000100,2/20/2024,2/20/2025,1001,101,54000038
1101,154000101,2/18/2027,2/18/2028,1002,102,54000039
1102,154000102,8/5/2024,8/5/2025,1000,100,54000039
1103,154000103,4/3/2024,4/3/2025,1001,101,54000039
1104,154000104,10/2/2027,10/2/2028,1002,102,54000040
1105,154000105,2/3/2025,2/3/2026,1000,100,54000040
1106,154000106,9/25/2026,9/25/2027,1001,101,54000041
1107,154000107,2/12/2027,2/12/2028,1002,102,54000041
1108,154000108,4/16/2027,4/16/2028,1000,100,54000042
1109,154000109,8/23/2026,8/23/2027,1001,101,54000042
1110,154000110,11/20/2026,11/20/2027,1002,102,54000042
1111,154000111,8/13/2024,8/13/2025,1000,100,54000043
1112,154000112,4/14/2024,4/14/2025,1001,101,54000043
1113,154000113,5/16/2024,5/16/2025,1002,102,54000044
1114,154000114,4/1/2027,4/1/2028,1000,100,54000044
1115,154000115,4/1/2025,4/1/2026,1001,101,54000044
1116,154000116,5/20/2026,5/20/2027,1002,102,54000045
1117,154000117,4/7/2026,4/7/2027,1000,100,54000045
1118,154000118,2/1/2026,2/1/2027,1001,101,54000046
1119,154000119,12/8/2025,12/8/2026,1002,102,54000046
1120,154000120,6/4/2026,6/4/2027,1000,100,54000047
1121,154000121,4/22/2025,4/22/2026,1001,101,54000047
1122,154000122,7/10/2027,7/10/2028,1002,102,54000048
1123,154000123,2/19/2025,2/19/2026,1000,100,54000048
1124,154000124,8/1/2025,8/1/2026,1001,101,54000048
1125,154000125,2/27/2026,2/27/2027,1002,102,54000049
1126,154000126,12/24/2025,12/24/2026,1000,100,54000049
1127,154000127,5/26/2027,5/26/2028,1001,101,54000050
1128,154000128,5/3/2024,5/3/2025,1002,102,54000050
1129,154000129,6/22/2025,6/22/2026,1000,100,54000050
1130,154000130,8/20/2027,8/20/2028,1001,101,54000051
1131,154000131,8/4/2026,8/4/2027,1002,102,54000051
1132,154000132,7/19/2025,7/19/2026,1000,100,54000051
1133,154000133,2/11/2024,2/11/2025,1001,101,54000052
1134,154000134,3/4/2026,3/4/2027,1002,102,54000052
1135,154000135,6/21/2026,6/21/2027,1000,100,54000052
1136,154000136,11/26/2026,11/26/2027,1001,101,54000053
1137,154000137,2/16/2027,2/16/2028,1002,102,54000053
1138,154000138,5/1/2025,5/1/2026,1000,100,54000054
1139,154000139,10/18/2024,10/18/2025,1001,101,54000054
1140,154000140,5/14/2025,5/14/2026,1002,102,54000054
1141,154000141,5/22/2026,5/22/2027,1000,100,54000055
1142,154000142,5/1/2027,5/1/2028,1001,101,54000055
1143,154000143,4/18/2026,4/18/2027,1002,102,54000056
1144,154000144,8/6/2026,8/6/2027,1000,100,54000056
1145,154000145,3/16/2026,3/16/2027,1001,101,54000057
1146,154000146,2/8/2026,2/8/2027,1002,102,54000057
1147,154000147,9/15/2027,9/15/2028,1000,100,54000058
1148,154000148,3/15/2026,3/15/2027,1001,101,54000058
1149,154000149,9/4/2024,9/4/2025,1002,102,54000058
1150,154000150,2/14/2024,2/14/2025,1000,100,54000059
1151,154000151,10/23/2026,10/23/2027,1001,101,54000059
1152,154000152,3/1/2026,3/1/2027,1002,102,54000059
1153,154000153,4/27/2024,4/27/2025,1000,100,54000060
1154,154000154,7/15/2027,7/15/2028,1001,101,54000060
1155,154000155,9/11/2024,9/11/2025,1002,102,54000061
1156,154000156,2/12/2027,2/12/2028,1000,100,54000061
1157,154000157,8/4/2027,8/4/2028,1001,101,54000062
1158,154000158,4/27/2025,4/27/2026,1002,102,54000062
1159,154000159,11/19/2027,11/19/2028,1000,100,54000063
1160,154000160,10/20/2025,10/20/2026,1001,101,54000063
1161,154000161,12/21/2027,12/21/2028,1002,102,54000064
1162,154000162,2/15/2024,2/15/2025,1000,100,54000064
1163,154000163,7/8/2026,7/8/2027,1001,101,54000064
1164,154000164,6/19/2026,6/19/2027,1002,102,54000065
1165,154000165,5/13/2026,5/13/2027,1000,100,54000065
1166,154000166,6/16/2026,6/16/2027,1001,101,54000065
1167,154000167,12/6/2025,12/6/2026,1002,102,54000066
1168,154000168,5/25/2027,5/25/2028,1000,100,54000066
1169,154000169,7/2/2025,7/2/2026,1001,101,54000067
1170,154000170,2/7/2026,2/7/2027,1002,102,54000067
1171,154000171,11/21/2026,11/21/2027,1000,100,54000067
1172,154000172,7/23/2027,7/23/2028,1001,101,54000068
1173,154000173,12/11/2027,12/11/2028,1002,102,54000068
1174,154000174,8/22/2027,8/22/2028,1000,100,54000069
1175,154000175,4/20/2027,4/20/2028,1001,101,54000069
1176,154000176,6/5/2027,6/5/2028,1002,102,54000069
1177,154000177,10/6/2026,10/6/2027,1000,100,54000070
1178,154000178,7/13/2025,7/13/2026,1001,101,54000070
1179,154000179,4/21/2026,4/21/2027,1002,102,54000070
1180,154000180,8/11/2027,8/11/2028,1000,100,54000071
1181,154000181,8/25/2025,8/25/2026,1001,101,54000071
1182,154000182,2/26/2025,2/26/2026,1002,102,54000072
1183,154000183,8/24/2026,8/24/2027,1000,100,54000072
1184,154000184,4/7/2027,4/7/2028,1001,101,54000072
1185,154000185,5/26/2025,5/26/2026,1002,102,54000073
1186,154000186,11/19/2026,11/19/2027,1000,100,54000073
1187,154000187,4/10/2027,4/10/2028,1001,101,54000074
1188,154000188,11/1/2025,11/1/2026,1002,102,54000074
1189,154000189,8/21/2026,8/21/2027,1000,100,54000074
1190,154000190,3/6/2024,3/6/2025,1001,101,54000075
1191,154000191,7/26/2025,7/26/2026,1002,102,54000075
1192,154000192,3/10/2025,3/10/2026,1000,100,54000075
1193,154000193,4/2/2027,4/2/2028,1001,101,54000076
1194,154000194,5/7/2024,5/7/2025,1002,102,54000076
1195,154000195,6/21/2027,6/21/2028,1000,100,54000077
1196,154000196,10/2/2024,10/2/2025,1001,101,54000077
1197,154000197,4/9/2025,4/9/2026,1002,102,54000077
1198,154000198,2/2/2026,2/2/2027,1000,100,54000078
1199,154000199,8/15/2026,8/15/2027,1001,101,54000078
1200,154000200,5/3/2024,5/3/2025,1002,102,54000079
1201,154000201,8/7/2025,8/7/2026,1000,100,54000079
1202,154000202,4/11/2026,4/11/2027,1001,101,54000080
1203,154000203,6/6/2026,6/6/2027,1002,102,54000080
1204,154000204,12/19/2025,12/19/2026,1000,100,54000080
1205,154000205,12/2/2027,12/2/2028,1001,101,54000081
1206,154000206,12/10/2026,12/10/2027,1002,102,54000081
1207,154000207,12/22/2024,12/22/2025,1000,100,54000082
1208,154000208,3/16/2026,3/16/2027,1001,101,54000082
1209,154000209,8/8/2026,8/8/2027,1002,102,54000082
1210,154000210,2/1/2025,2/1/2026,1000,100,54000083
1211,154000211,2/10/2025,2/10/2026,1001,101,54000083
1212,154000212,12/22/2027,12/22/2028,1002,102,54000083
1213,154000213,5/13/2027,5/13/2028,1000,100,54000084
1214,154000214,10/10/2027,10/10/2028,1001,101,54000084
1215,154000215,11/3/2027,11/3/2028,1002,102,54000085
1216,154000216,8/5/2027,8/5/2028,1000,100,54000085
1217,154000217,6/3/2027,6/3/2028,1001,101,54000086
1218,154000218,8/4/2027,8/4/2028,1002,102,54000086
1219,154000219,7/14/2025,7/14/2026,1000,100,54000086
1220,154000220,8/16/2027,8/16/2028,1001,101,54000087
1221,154000221,4/11/2024,4/11/2025,1002,102,54000087
1222,154000222,9/17/2026,9/17/2027,1000,100,54000087
1223,154000223,8/13/2027,8/13/2028,1001,101,54000088
1224,154000224,12/26/2027,12/26/2028,1002,102,54000088
1225,154000225,10/19/2026,10/19/2027,1000,100,54000089
1226,154000226,10/16/2025,10/16/2026,1001,101,54000089
1227,154000227,6/11/2024,6/11/2025,1002,102,54000089
1228,154000228,7/3/2024,7/3/2025,1000,100,54000090
1229,154000229,4/2/2026,4/2/2027,1001,101,54000090
1230,154000230,10/16/2025,10/16/2026,1002,102,54000090
1231,154000231,3/1/2026,3/1/2027,1000,100,54000091
1232,154000232,6/27/2025,6/27/2026,1001,101,54000091
1233,154000233,3/5/2026,3/5/2027,1002,102,54000092
1234,154000234,7/25/2026,7/25/2027,1000,100,54000092
1235,154000235,6/14/2027,6/14/2028,1001,101,54000093
1236,154000236,7/2/2027,7/2/2028,1002,102,54000093
1237,154000237,2/20/2026,2/20/2027,1000,100,54000093
1238,154000238,6/21/2024,6/21/2025,1001,101,54000094
1239,154000239,4/17/2026,4/17/2027,1002,102,54000094
1240,154000240,2/26/2026,2/26/2027,1000,100,54000094
1241,154000241,7/20/2027,7/20/2028,1001,101,54000095
1242,154000242,4/12/2025,4/12/2026,1002,102,54000095
1243,154000243,12/6/2025,12/6/2026,1000,100,54000096
1244,154000244,7/21/2026,7/21/2027,1001,101,54000096
1245,154000245,5/20/2026,5/20/2027,1002,102,54000096
1246,154000246,6/21/2027,6/21/2028,1000,100,54000097
1247,154000247,10/27/2024,10/27/2025,1001,101,54000097
1248,154000248,7/1/2025,7/1/2026,1002,102,54000098
1249,154000249,9/14/2026,9/14/2027,1000,100,54000098
1250,154000250,9/24/2025,9/24/2026,1001,101,54000099
1251,154000251,2/11/2025,2/11/2026,1002,102,54000099
1252,154000252,2/18/2024,2/18/2025,1000,100,54000099
1253,154000253,12/22/2026,12/22/2027,1001,101,54000100
1254,154000254,3/20/2024,3/20/2025,1002,102,54000100
1255,154000255,3/17/2025,3/17/2026,1000,100,54000100
1256,154000256,6/24/2027,6/24/2028,1001,101,54000101
1257,154000257,10/26/2027,10/26/2028,1002,102,54000101
1258,154000258,6/14/2024,6/14/2025,1000,100,54000102
1259,154000259,2/26/2025,2/26/2026,1001,101,54000102
1260,154000260,5/5/2024,5/5/2025,1002,102,54000103
1261,154000261,9/5/2026,9/5/2027,1000,100,54000103
1262,154000262,6/1/2026,6/1/2027,1001,101,54000103
1263,154000263,8/21/2025,8/21/2026,1002,102,54000104
1264,154000264,2/25/2025,2/25/2026,1000,100,54000104
1265,154000265,6/18/2025,6/18/2026,1001,101,54000104
1266,154000266,7/21/2025,7/21/2026,1002,102,54000105
1267,154000267,11/20/2025,11/20/2026,1000,100,54000105
1268,154000268,4/27/2026,4/27/2027,1001,101,54000105
1269,154000269,4/8/2027,4/8/2028,1002,102,54000106
1270,154000270,5/2/2025,5/2/2026,1000,100,54000106
1271,154000271,3/25/2024,3/25/2025,1001,101,54000107
1272,154000272,12/1/2026,12/1/2027,1002,102,54000107
1273,154000273,2/1/2026,2/1/2027,1000,100,54000108
1274,154000274,3/26/2026,3/26/2027,1001,101,54000108
1275,154000275,5/10/2026,5/10/2027,1002,102,54000108
1276,154000276,9/8/2024,9/8/2025,1000,100,54000109
1277,154000277,7/3/2024,7/3/2025,1001,101,54000109
1278,154000278,8/19/2027,8/19/2028,1002,102,54000110
1279,154000279,11/13/2024,11/13/2025,1000,100,54000110
1280,154000280,6/27/2025,6/27/2026,1001,101,54000110
