premium_id,policy_id,amount,payment_method_id,due_date
1,1000,53.65,100,2/18/2026
2,1001,65.95,101,11/9/2026
3,1002,24.15,102,4/2/2026
4,1003,84.5,100,2/6/2026
5,1004,50.05,101,7/21/2026
6,1005,4.3,102,2/15/2026
7,1006,8.25,100,8/19/2026
8,1007,72.5,101,10/25/2026
9,1008,98.3,102,9/25/2026
10,1009,71.85,100,4/22/2026
11,1010,44.45,101,12/15/2026
12,1011,50.5,102,2/11/2026
13,1012,52.8,100,6/9/2026
14,1013,79.8,101,2/9/2026
15,1014,8.65,102,8/8/2026
16,1015,61.4,100,5/25/2026
17,1016,18.35,101,11/10/2026
18,1017,79.25,102,6/22/2026
19,1018,90.6,100,9/10/2026
20,1019,20.2,101,3/25/2026
21,1020,99.9,102,9/25/2026
22,1021,2.4,100,12/14/2026
23,1022,97.35,101,2/14/2026
24,1023,71.95,102,5/17/2026
25,1024,2.05,100,6/3/2026
26,1025,77.9,101,2/17/2026
27,1026,27.2,102,10/7/2026
28,1027,58.95,100,2/3/2026
29,1028,33.75,101,11/20/2026
30,1029,43.9,102,5/24/2026
31,1030,8.7,100,2/17/2026
32,1031,80.75,101,11/1/2026
33,1032,75.3,102,7/12/2026
34,1033,40.85,100,2/9/2026
35,1034,24.25,101,11/5/2026
36,1035,33,102,7/1/2026
37,1036,66.05,100,6/6/2026
38,1037,7.5,101,2/10/2026
39,1038,85.85,102,11/5/2026
40,1039,21.25,100,3/3/2026
41,1040,17.8,101,3/10/2026
42,1041,64.85,102,8/15/2026
43,1042,71.8,100,5/21/2026
44,1043,63.55,101,12/14/2026
45,1044,12.15,102,9/9/2026
46,1045,34.3,100,9/26/2026
47,1046,94.85,101,10/18/2026
48,1047,46.65,102,6/13/2026
49,1048,91.9,100,2/5/2026
50,1049,10.3,101,6/12/2026
51,1050,63.4,102,2/20/2026
52,1051,20.35,100,11/24/2026
53,1052,31.2,101,4/12/2026
54,1053,42.7,102,5/23/2026
55,1054,52.8,100,12/9/2026
56,1055,78.3,101,10/20/2026
57,1056,25.1,102,4/15/2026
58,1057,99.4,100,10/7/2026
59,1058,99.6,101,2/8/2026
60,1059,29.45,102,10/16/2026
61,1060,84.35,100,2/22/2026
62,1061,72.9,101,12/26/2026
63,1062,75.9,102,7/9/2026
64,1063,28.4,100,6/13/2026
65,1064,51.15,101,7/13/2026
66,1065,36.9,102,4/7/2026
67,1066,47.6,100,2/2/2026
68,1067,8.95,101,11/21/2026
69,1068,37.1,102,7/23/2026
70,1069,32.25,100,9/10/2026
71,1070,17.45,101,10/11/2026
72,1071,82.6,102,12/24/2026
73,1072,24.7,100,7/24/2026
74,1073,14.95,101,2/27/2026
75,1074,9.75,102,12/18/2026
76,1075,1.65,100,6/15/2026
77,1076,14.95,101,6/22/2026
78,1077,63.4,102,9/13/2026
79,1078,11.3,100,6/9/2026
80,1079,13.15,101,6/22/2026
81,1080,63.5,102,4/13/2026
82,1081,54.1,100,8/23/2026
83,1082,32.7,101,2/14/2026
84,1083,97.4,102,4/13/2026
85,1084,17.4,100,8/24/2026
86,1085,31.25,101,8/19/2026
87,1086,61.9,102,5/10/2026
88,1087,42.15,100,6/16/2026
89,1088,43.2,101,7/1/2026
90,1089,14.05,102,10/6/2026
91,1090,75.15,100,2/11/2026
92,1091,66.55,101,4/9/2026
93,1092,18.3,102,10/19/2026
94,1093,89.35,100,10/24/2026
95,1094,77.95,101,10/3/2026
96,1095,42.45,102,2/7/2026
97,1096,91.85,100,4/5/2026
98,1097,5.6,101,11/1/2026
99,1098,66.3,102,2/25/2026
100,1099,88.1,100,5/1/2026
101,1100,23.2,101,2/15/2026
102,1101,85.3,102,7/11/2026
103,1102,100.3,100,9/27/2026
104,1103,81.6,101,11/19/2026
105,1104,9.9,102,5/14/2026
106,1105,89.3,100,5/26/2026
107,1106,66.5,101,5/7/2026
108,1107,68.2,102,9/25/2026
109,1108,64.05,100,10/24/2026
110,1109,29.65,101,2/19/2026
111,1110,47.3,102,3/3/2026
112,1111,46.3,100,7/19/2026
113,1112,78.3,101,9/19/2026
114,1113,28.8,102,9/19/2026
115,1114,88.85,100,10/8/2026
116,1115,72.4,101,5/1/2026
117,1116,31.55,102,11/21/2026
118,1117,26.25,100,11/18/2026
119,1118,46.55,101,8/15/2026
120,1119,96.9,102,5/17/2026
121,1120,68.65,100,2/7/2026
122,1121,90.2,101,2/26/2026
123,1122,53.8,102,7/11/2026
124,1123,68.9,100,7/6/2026
125,1124,100.85,101,10/19/2026
126,1125,28.3,102,2/9/2026
127,1126,51.95,100,12/11/2026
128,1127,97.5,101,6/24/2026
129,1128,22.55,102,6/9/2026
130,1129,95.3,100,10/7/2026
131,1130,15.7,101,9/7/2026
132,1131,41.45,102,10/6/2026
133,1132,28.9,100,10/15/2026
134,1133,80.65,101,4/9/2026
135,1134,99.45,102,10/6/2026
136,1135,78.45,100,12/7/2026
137,1136,90.65,101,4/24/2026
138,1137,62.65,102,10/9/2026
139,1138,70.95,100,2/27/2026
140,1139,17.5,101,11/9/2026
141,1140,25.4,102,12/23/2026
142,1141,37.05,100,9/18/2026
143,1142,74,101,11/22/2026
144,1143,91.25,102,10/16/2026
145,1144,97.9,100,9/9/2026
146,1145,79.35,101,8/3/2026
147,1146,87.95,102,9/7/2026
148,1147,11,100,7/20/2026
149,1148,80.65,101,9/20/2026
150,1149,57.8,102,6/7/2026
151,1150,54.3,100,7/12/2026
152,1151,95.2,101,3/27/2026
153,1152,48.4,102,3/12/2026
154,1153,43.55,100,2/8/2026
